Order_Date,Product_Category,Product_Price,Order_Quantity,Discount_Applied,Shipping_Method,Payment_Method,User_Age,User_Gender,User_Location,Return_Status,Order_Value
2023-01-24,Clothing,1849.22,5,28.68,Next-Day,Debit Card,60,Male,City63,Not Returned,6594.318520000001
2023-09-28,Home Appliances,1767.41,2,1.45,Next-Day,Wallet,18,Male,City48,Not Returned,3483.5651100000005
2023-12-01,Electronics,1298.03,2,6.07,Next-Day,COD,61,Male,City28,Returned,2438.479158
2022-03-09,Electronics,1438.67,4,25.5,Standard,Debit Card,18,Female,City13,Not Returned,4287.2366
2024-12-12,Clothing,573.64,4,25.37,Express,Wallet,37,Male,City72,Not Returned,1712.430128
2024-07-03,Clothing,1460.32,1,22.06,Standard,COD,55,Female,City93,Not Returned,1138.1734079999999
2024-06-01,Books,193.75,5,42.26,Next-Day,COD,45,Male,City59,Not Returned,559.35625
2024-12-30,Toys,1912.84,1,45.67,Express,COD,64,Male,City7,Not Returned,1039.245972
2022-09-08,Electronics,1899.85,1,7.89,Next-Day,COD,23,Female,City3,Returned,1749.951835
2022-06-16,Home Appliances,196.71,2,47.64,Express,Debit Card,29,Female,City34,Not Returned,205.99471200000002
2023-07-12,Books,1306.52,1,0.76,Standard,Debit Card,43,Male,City49,Not Returned,1296.590448
2025-03-03,Clothing,1518.25,3,27.3,Express,Debit Card,41,Male,City58,Returned,3311.30325
2024-01-30,Toys,134.47,5,41.04,Express,COD,31,Male,City61,Not Returned,396.41756000000004
2022-03-11,Electronics,1381.62,1,40.98,Next-Day,Credit Card,45,Female,City5,Not Returned,815.432124
2023-12-17,Home Appliances,286.64,3,36.34,Express,COD,59,Male,City13,Returned,547.4250719999999
2022-07-11,Toys,1389.95,3,25.58,Next-Day,Credit Card,56,Male,City59,Returned,3103.20237
2022-03-13,Books,1703.46,3,22.33,Next-Day,Wallet,48,Male,City43,Not Returned,3969.2321460000003
2022-12-06,Electronics,769.21,1,8.79,Standard,Wallet,49,Male,City70,Not Returned,701.596441
2024-09-11,Clothing,647.79,4,12.9,Express,Debit Card,24,Male,City98,Not Returned,2256.9003599999996
2022-03-23,Clothing,440.9,2,24.23,Express,Debit Card,23,Male,City55,Not Returned,668.13986
2023-05-16,Clothing,1241.23,3,22.82,Standard,Credit Card,54,Female,City95,Not Returned,2873.9439420000003
2024-02-13,Toys,1766.22,2,29.49,Standard,Credit Card,47,Male,City19,Not Returned,2490.723444
2022-10-12,Electronics,983.52,4,14.77,Standard,Credit Card,56,Male,City80,Not Returned,3353.016384
2022-11-07,Clothing,1109.81,1,2.29,Next-Day,COD,52,Female,City87,Not Returned,1084.395351
2024-02-26,Clothing,1492.29,1,3.82,Next-Day,COD,23,Male,City48,Returned,1435.284522
2024-10-16,Clothing,1652.95,3,2.03,Standard,Debit Card,24,Female,City62,Returned,4858.185345000001
2024-01-31,Clothing,1927.96,3,40.99,Next-Day,Credit Card,27,Female,City56,Returned,3413.067588
2022-05-19,Toys,661.93,5,5.98,Standard,Wallet,43,Male,City8,Not Returned,3111.7329299999997
2023-02-12,Electronics,502.38,4,33.92,Express,Wallet,48,Male,City16,Not Returned,1327.890816
2023-12-05,Electronics,441.82,4,44.0,Express,Debit Card,22,Male,City15,Returned,989.6768000000001
2022-04-16,Books,356.58,4,9.29,Express,Wallet,49,Male,City36,Not Returned,1293.814872
2024-11-03,Books,1622.54,5,37.57,Next-Day,Debit Card,42,Female,City30,Not Returned,5064.758610000001
2022-03-01,Toys,795.36,1,11.86,Next-Day,Credit Card,61,Female,City11,Not Returned,701.030304
2023-10-15,Home Appliances,1713.91,3,40.8,Next-Day,COD,57,Female,City73,Not Returned,3043.9041600000005
2025-07-22,Clothing,1160.01,3,20.08,Standard,Wallet,24,Male,City81,Not Returned,2781.239976
2023-07-15,Clothing,162.84,2,6.05,Express,Debit Card,38,Male,City54,Not Returned,305.97636
2022-08-21,Electronics,1102.26,3,23.48,Express,COD,33,Female,City63,Not Returned,2530.348056
2022-09-30,Clothing,183.36,2,11.58,Express,Credit Card,39,Male,City47,Not Returned,324.253824
2022-10-07,Electronics,1713.17,3,16.98,Next-Day,Credit Card,41,Male,City97,Not Returned,4266.821202
2022-09-11,Clothing,143.94,2,4.5,Express,Debit Card,31,Male,City82,Returned,274.92539999999997
2023-08-27,Books,280.73,2,7.57,Standard,COD,38,Male,City99,Not Returned,518.957478
2024-11-27,Books,1891.54,1,35.31,Express,Wallet,53,Female,City78,Returned,1223.637226
2024-09-17,Clothing,643.7,4,11.45,Next-Day,Debit Card,33,Female,City61,Returned,2279.9854
2024-11-12,Clothing,756.48,4,30.37,Express,Wallet,24,Male,City3,Not Returned,2106.9480959999996
2025-07-02,Electronics,1994.25,4,6.36,Express,Credit Card,46,Female,City88,Returned,7469.6628
2022-09-26,Toys,1731.33,1,27.02,Standard,Debit Card,34,Female,City1,Not Returned,1263.5246339999999
2024-01-21,Books,1256.88,5,3.25,Express,Wallet,50,Female,City14,Returned,6080.157000000001
2022-06-10,Electronics,629.04,5,20.06,Standard,Wallet,22,Female,City27,Not Returned,2514.27288
2023-06-05,Toys,1651.76,2,7.84,Next-Day,Wallet,45,Female,City41,Not Returned,3044.524032
2024-02-23,Toys,1488.05,4,35.13,Next-Day,Credit Card,55,Female,City62,Not Returned,3861.19214
2022-02-01,Electronics,594.17,1,1.67,Standard,COD,49,Female,City66,Not Returned,584.247361
2022-11-11,Books,1211.4,5,5.27,Standard,Debit Card,64,Male,City32,Not Returned,5737.7961000000005
2023-10-05,Books,1900.41,5,43.16,Standard,Debit Card,27,Female,City25,Returned,5400.965220000001
2024-06-24,Toys,1165.9,5,19.83,Next-Day,Credit Card,26,Female,City31,Returned,4673.51015
2023-09-05,Toys,269.14,3,17.47,Next-Day,COD,58,Female,City31,Not Returned,666.363726
2024-09-17,Electronics,429.7,1,5.27,Next-Day,Wallet,62,Female,City76,Returned,407.05481
2023-01-09,Electronics,1300.2,5,34.46,Standard,COD,52,Female,City35,Not Returned,4260.7554
2022-09-30,Books,1125.93,4,38.59,Standard,Credit Card,57,Female,City63,Not Returned,2765.734452
2024-02-25,Electronics,847.0,2,21.4,Next-Day,Credit Card,52,Male,City29,Not Returned,1331.4840000000002
2024-02-03,Electronics,309.68,2,24.01,Standard,Wallet,58,Female,City65,Not Returned,470.65166400000004
2024-05-18,Home Appliances,248.8,2,16.99,Next-Day,Wallet,62,Female,City43,Not Returned,413.05776000000003
2023-08-03,Electronics,179.06,1,36.97,Standard,COD,33,Female,City53,Returned,112.86151800000002
2023-01-24,Electronics,231.26,2,43.85,Next-Day,COD,31,Female,City73,Not Returned,259.70498
2023-11-22,Electronics,1546.0,5,7.56,Standard,Wallet,34,Female,City12,Not Returned,7145.612
2025-08-25,Clothing,512.69,1,48.76,Next-Day,Credit Card,31,Female,City3,Returned,262.702356
2023-03-30,Home Appliances,1375.84,5,11.97,Next-Day,Wallet,53,Female,City16,Not Returned,6055.75976
2024-03-15,Electronics,1435.47,3,10.41,Standard,Wallet,58,Male,City49,Not Returned,3858.112719
2022-03-13,Books,1479.49,1,32.71,Express,COD,43,Female,City79,Not Returned,995.5488210000001
2024-04-13,Electronics,362.3,2,18.0,Standard,Wallet,36,Male,City96,Not Returned,594.172
2024-11-25,Toys,1589.89,1,5.87,Next-Day,COD,23,Female,City90,Not Returned,1496.5634570000002
2023-12-29,Home Appliances,1953.85,2,37.38,Standard,Wallet,24,Female,City54,Not Returned,2447.0017399999997
2024-09-26,Toys,566.71,1,1.69,Next-Day,Credit Card,64,Female,City53,Not Returned,557.132601
2024-06-01,Toys,1794.67,4,5.24,Express,Wallet,26,Male,City96,Not Returned,6802.517168
2023-10-01,Clothing,720.87,5,28.24,Express,COD,53,Female,City35,Not Returned,2586.48156
2024-01-24,Books,593.06,4,48.61,Express,Debit Card,25,Female,City66,Not Returned,1219.094136
2022-11-03,Clothing,1757.23,3,42.75,Standard,Debit Card,60,Female,City50,Not Returned,3018.0425250000003
2024-02-10,Electronics,554.45,4,12.88,Express,Credit Card,55,Male,City99,Not Returned,1932.1473600000002
2024-12-27,Books,1780.97,1,18.81,Express,Debit Card,19,Male,City29,Not Returned,1445.9695430000002
2024-03-17,Books,1004.8,1,12.77,Standard,COD,52,Female,City39,Not Returned,876.48704
2024-10-27,Electronics,1851.99,1,47.51,Standard,Wallet,39,Male,City30,Not Returned,972.109551
2024-03-31,Clothing,1698.84,4,23.42,Express,Wallet,31,Female,City62,Not Returned,5203.886688
2025-08-09,Electronics,217.72,4,22.36,Express,Debit Card,57,Female,City37,Not Returned,676.1512319999999
2025-03-14,Toys,991.05,4,21.39,Express,Wallet,61,Female,City69,Not Returned,3116.25762
2025-08-13,Toys,808.22,2,16.52,Next-Day,Credit Card,47,Female,City66,Not Returned,1349.404112
2022-12-21,Clothing,1462.36,4,30.77,Express,Debit Card,25,Female,City2,Not Returned,4049.5673119999997
2024-08-13,Clothing,287.48,1,45.95,Next-Day,Wallet,42,Male,City59,Not Returned,155.38294
2024-02-22,Books,1683.51,1,6.54,Express,Credit Card,54,Male,City68,Not Returned,1573.408446
2025-01-08,Clothing,576.03,1,15.53,Standard,Credit Card,22,Male,City48,Returned,486.572541
2024-06-14,Clothing,821.88,5,43.3,Next-Day,Debit Card,22,Male,City84,Returned,2330.0298
2025-03-28,Clothing,742.99,2,15.02,Express,Debit Card,37,Female,City52,Not Returned,1262.785804
2023-08-21,Clothing,1673.04,4,23.02,Standard,COD,40,Female,City60,Returned,5151.624768000001
2022-06-02,Electronics,648.61,5,4.87,Express,COD,23,Female,City31,Not Returned,3085.1134650000004
2022-05-17,Home Appliances,1916.24,2,23.37,Standard,COD,48,Male,City68,Not Returned,2936.829424
2024-10-23,Clothing,1607.73,3,48.88,Next-Day,Credit Card,30,Female,City67,Returned,2465.614728
2025-09-03,Clothing,1985.85,1,14.21,Standard,COD,59,Female,City14,Not Returned,1703.660715
2024-08-02,Electronics,1958.91,4,11.02,Next-Day,Credit Card,45,Male,City68,Not Returned,6972.152472000001
2023-05-15,Home Appliances,1786.58,4,18.0,Standard,Credit Card,47,Male,City63,Not Returned,5859.9824
2024-07-20,Books,1359.77,1,29.06,Express,Credit Card,65,Female,City86,Not Returned,964.620838
2022-07-27,Toys,207.68,3,13.02,Next-Day,Wallet,19,Female,City59,Not Returned,541.9201919999999
2025-02-21,Clothing,1775.96,1,26.66,Express,Wallet,59,Female,City91,Returned,1302.489064
2023-05-29,Clothing,167.05,1,36.05,Standard,Debit Card,56,Male,City18,Returned,106.828475
2024-04-22,Toys,666.31,1,19.56,Next-Day,Wallet,24,Female,City97,Not Returned,535.9797639999999
2022-08-25,Clothing,1101.74,4,1.33,Express,Credit Card,28,Female,City31,Returned,4348.3474320000005
2024-05-10,Toys,1273.54,4,25.6,Express,Debit Card,56,Male,City36,Not Returned,3790.0550399999997
2024-03-17,Books,955.9,2,15.02,Next-Day,Debit Card,36,Female,City14,Not Returned,1624.64764
2023-01-15,Books,1227.07,4,10.89,Express,Debit Card,56,Female,City88,Not Returned,4373.768308
2022-02-28,Toys,1750.46,1,41.96,Standard,Wallet,35,Female,City21,Returned,1015.966984
2024-04-07,Clothing,1139.0,4,46.33,Next-Day,Wallet,38,Female,City84,Not Returned,2445.2052
2025-06-30,Electronics,296.67,3,31.08,Standard,COD,48,Male,City75,Returned,613.394892
2022-08-05,Electronics,398.36,2,8.7,Standard,COD,24,Female,City5,Not Returned,727.4053600000001
2024-10-23,Books,1246.84,2,13.39,Next-Day,Wallet,44,Female,City68,Not Returned,2159.7762479999997
2024-04-21,Home Appliances,609.17,4,46.96,Express,Debit Card,44,Female,City24,Not Returned,1292.4150719999998
2024-09-04,Clothing,354.3,4,24.67,Next-Day,Credit Card,53,Female,City5,Returned,1067.57676
2023-11-16,Electronics,990.42,5,46.75,Standard,Debit Card,49,Male,City54,Not Returned,2636.9932499999995
2025-03-03,Clothing,718.67,5,21.5,Standard,Credit Card,30,Male,City87,Not Returned,2820.77975
2023-09-04,Books,1745.63,4,10.17,Next-Day,Debit Card,55,Male,City91,Returned,6272.397716
2023-10-24,Home Appliances,428.25,5,33.17,Express,Wallet,35,Male,City39,Not Returned,1430.997375
2023-11-24,Electronics,1805.45,3,43.94,Standard,Debit Card,56,Male,City17,Not Returned,3036.40581
2024-10-03,Clothing,264.27,3,26.22,Express,Wallet,36,Female,City30,Not Returned,584.935218
2025-05-15,Home Appliances,276.46,1,40.01,Standard,Debit Card,57,Male,City16,Not Returned,165.84835400000003
2024-01-21,Electronics,1921.79,5,40.45,Express,Wallet,19,Male,City44,Returned,5722.129725
2025-01-09,Clothing,1479.38,5,41.78,Standard,Debit Card,18,Female,City63,Not Returned,4306.47518
2023-09-12,Electronics,930.88,2,28.8,Standard,COD,64,Female,City33,Returned,1325.57312
2025-07-09,Clothing,1814.45,1,44.02,Express,COD,31,Female,City77,Not Returned,1015.72911
2024-01-10,Clothing,1495.55,4,35.82,Next-Day,COD,58,Female,City81,Not Returned,3839.3759599999994
2022-12-19,Clothing,1403.13,2,36.43,Standard,Credit Card,63,Female,City39,Returned,1783.939482
2022-06-06,Books,1403.63,3,29.82,Next-Day,Credit Card,62,Female,City83,Not Returned,2955.2026020000003
2023-10-07,Electronics,508.92,3,12.64,Standard,Credit Card,19,Male,City19,Returned,1333.7775359999998
2022-01-20,Clothing,1760.7,2,44.24,Express,Credit Card,29,Male,City17,Not Returned,1963.53264
2022-07-18,Electronics,432.88,2,18.6,Standard,COD,40,Male,City74,Not Returned,704.7286399999999
2023-01-18,Books,1212.93,1,0.06,Next-Day,Debit Card,22,Male,City23,Not Returned,1212.202242
2024-02-09,Clothing,346.36,5,32.24,Express,Wallet,43,Female,City49,Not Returned,1173.4676800000002
2024-12-27,Clothing,1278.86,3,20.87,Next-Day,Debit Card,47,Female,City21,Not Returned,3035.885754
2024-05-26,Electronics,1845.14,1,11.28,Standard,Debit Card,25,Male,City52,Not Returned,1637.008208
2025-09-01,Electronics,100.09,5,14.13,Express,Wallet,43,Male,City62,Not Returned,429.736415
2023-04-21,Home Appliances,832.95,4,7.87,Next-Day,Debit Card,61,Female,City8,Not Returned,3069.58734
2022-11-06,Clothing,1811.75,5,5.45,Next-Day,COD,52,Male,City48,Not Returned,8565.048125
2023-11-17,Toys,555.98,4,28.4,Express,Debit Card,25,Female,City66,Not Returned,1592.32672
2023-03-24,Electronics,1932.64,4,43.3,Express,Credit Card,50,Female,City92,Not Returned,4383.2275199999995
2022-07-31,Toys,1569.77,4,2.9,Express,COD,43,Male,City14,Not Returned,6096.98668
2023-09-14,Home Appliances,616.66,4,16.58,Express,Credit Card,65,Male,City44,Not Returned,2057.671088
2022-08-07,Toys,821.92,3,29.39,Next-Day,COD,18,Male,City99,Returned,1741.0731359999997
2025-07-14,Home Appliances,1916.13,5,14.5,Next-Day,COD,18,Female,City4,Not Returned,8191.455750000001
2024-09-04,Books,1441.78,5,43.88,Next-Day,COD,65,Male,City9,Not Returned,4045.634679999999
2022-05-12,Home Appliances,527.72,5,22.12,Express,Wallet,57,Male,City60,Not Returned,2054.94168
2022-09-24,Clothing,914.11,4,19.99,Standard,Wallet,62,Male,City13,Not Returned,2925.517644
2022-04-03,Books,1690.25,5,49.55,Standard,Credit Card,53,Female,City91,Returned,4263.655624999999
2022-10-19,Toys,419.05,2,20.25,Next-Day,COD,32,Male,City70,Not Returned,668.38475
2023-08-16,Home Appliances,252.02,5,36.27,Standard,Debit Card,49,Male,City25,Returned,803.06173
2023-03-10,Clothing,1786.18,5,14.62,Standard,Credit Card,32,Female,City11,Not Returned,7625.20242
2023-07-24,Home Appliances,1233.73,5,0.11,Express,Wallet,38,Female,City84,Not Returned,6161.864485
2023-01-11,Clothing,1345.67,1,25.52,Next-Day,COD,19,Male,City71,Returned,1002.2550160000001
2022-01-22,Clothing,1253.67,4,47.19,Next-Day,Debit Card,44,Female,City9,Not Returned,2648.252508
2024-12-23,Books,1366.54,3,46.44,Next-Day,COD,35,Female,City87,Returned,2195.756472
2024-11-05,Books,1400.6,1,28.17,Next-Day,Credit Card,54,Female,City40,Not Returned,1006.0509799999999
2022-10-24,Toys,907.73,4,3.72,Standard,COD,45,Female,City64,Not Returned,3495.849776
2023-10-16,Books,1525.81,5,0.37,Next-Day,Debit Card,31,Female,City21,Not Returned,7600.822514999999
2024-11-20,Electronics,1266.3,3,45.2,Standard,Wallet,54,Female,City66,Returned,2081.7972
2022-05-13,Toys,249.54,3,36.43,Express,Credit Card,52,Female,City27,Not Returned,475.89773399999996
2025-05-26,Toys,1614.62,4,10.75,Next-Day,COD,22,Male,City97,Not Returned,5764.193399999999
2023-04-16,Books,760.82,3,46.53,Next-Day,Debit Card,45,Female,City38,Not Returned,1220.4313619999998
2024-09-01,Home Appliances,798.44,4,41.09,Standard,Debit Card,32,Male,City23,Not Returned,1881.444016
2023-01-24,Clothing,757.18,5,48.95,Next-Day,COD,28,Male,City20,Not Returned,1932.7019499999997
2025-07-16,Toys,1986.41,4,31.32,Next-Day,Wallet,59,Male,City86,Not Returned,5457.065552000001
2023-09-13,Clothing,135.81,2,25.35,Next-Day,Credit Card,35,Male,City51,Not Returned,202.76433
2022-12-04,Toys,860.83,3,22.32,Next-Day,Credit Card,42,Female,City18,Not Returned,2006.078232
2023-08-25,Home Appliances,501.1,2,15.2,Express,Debit Card,49,Female,City42,Not Returned,849.8656
2023-07-12,Toys,798.49,1,39.21,Standard,COD,61,Male,City90,Returned,485.402071
2024-10-20,Books,1602.4,2,37.7,Next-Day,Credit Card,37,Female,City30,Not Returned,1996.5904
2024-04-17,Electronics,241.73,3,45.82,Standard,COD,26,Male,City60,Not Returned,392.907942
2024-07-22,Toys,1001.61,1,2.86,Next-Day,Debit Card,62,Female,City86,Not Returned,972.9639540000001
2022-07-22,Toys,1697.73,2,5.64,Next-Day,Credit Card,64,Female,City99,Not Returned,3203.956056
2023-03-04,Toys,651.88,2,44.99,Standard,COD,20,Female,City54,Not Returned,717.198376
2024-04-06,Clothing,1750.36,2,19.0,Standard,Wallet,45,Male,City73,Not Returned,2835.5832
2025-07-23,Electronics,1213.99,4,40.77,Standard,Debit Card,52,Female,City64,Not Returned,2876.185108
2023-10-17,Electronics,669.48,5,42.88,Standard,Credit Card,29,Male,City8,Returned,1912.03488
2023-12-24,Clothing,1574.05,1,42.31,Next-Day,Credit Card,21,Female,City4,Not Returned,908.069445
2023-01-16,Clothing,1819.08,5,15.01,Standard,Credit Card,57,Female,City31,Not Returned,7730.18046
2024-04-22,Books,1442.23,5,16.91,Standard,COD,46,Female,City18,Not Returned,5991.744535
2022-12-27,Toys,843.93,2,31.31,Standard,COD,50,Female,City48,Returned,1159.391034
2024-07-10,Electronics,362.48,2,32.61,Express,Debit Card,50,Female,City70,Not Returned,488.550544
2022-10-11,Clothing,172.31,3,32.21,Express,Credit Card,33,Female,City15,Not Returned,350.426847
2022-12-14,Clothing,234.33,4,0.36,Express,Credit Card,40,Male,City37,Not Returned,933.945648
2022-08-31,Books,119.94,4,32.36,Standard,COD,59,Female,City60,Returned,324.509664
2022-05-07,Clothing,1855.84,4,33.34,Standard,Debit Card,58,Male,City18,Not Returned,4948.411776
2023-03-13,Books,322.98,4,4.95,Express,COD,37,Male,City88,Not Returned,1227.9699600000001
2022-07-26,Toys,1337.66,5,44.5,Express,Wallet,59,Female,City44,Not Returned,3712.0064999999995
2022-07-25,Electronics,301.53,4,14.02,Standard,Wallet,41,Female,City47,Not Returned,1037.021976
2022-01-09,Clothing,166.76,2,5.35,Next-Day,Wallet,57,Male,City54,Not Returned,315.67668
2024-12-15,Home Appliances,441.38,5,1.3,Standard,Credit Card,19,Female,City27,Not Returned,2178.2103
2023-08-25,Clothing,255.77,4,14.72,Next-Day,Credit Card,33,Male,City80,Not Returned,872.482624
2022-10-12,Toys,1405.11,1,41.25,Next-Day,COD,43,Female,City30,Not Returned,825.502125
2022-01-05,Clothing,1698.73,3,28.89,Next-Day,Credit Card,22,Female,City73,Returned,3623.900709000001
2024-05-27,Books,346.56,5,9.62,Next-Day,Credit Card,58,Female,City58,Returned,1566.10464
2025-08-29,Electronics,124.13,4,32.4,Next-Day,Debit Card,33,Female,City43,Returned,335.64751999999993
2023-06-17,Clothing,1093.16,1,16.23,Next-Day,Credit Card,50,Male,City14,Returned,915.740132
2025-08-22,Electronics,1184.26,1,4.73,Next-Day,Credit Card,30,Female,City77,Returned,1128.244502
2023-12-29,Books,1990.06,2,39.87,Express,COD,52,Male,City51,Not Returned,2393.2461559999997
2024-05-16,Clothing,1732.64,5,10.28,Standard,COD,43,Male,City13,Not Returned,7772.62304
2023-05-31,Clothing,340.07,5,37.2,Next-Day,Credit Card,54,Female,City63,Returned,1067.8197999999998
2022-11-01,Clothing,1122.34,3,40.31,Express,Wallet,23,Female,City73,Returned,2009.7742379999997
2023-05-24,Books,294.78,5,6.04,Express,Debit Card,48,Female,City27,Not Returned,1384.8764399999998
2023-08-22,Clothing,1641.68,3,35.83,Next-Day,Credit Card,47,Female,City19,Not Returned,3160.3981679999997
2024-05-12,Electronics,649.28,5,38.05,Express,Credit Card,46,Female,City27,Returned,2011.1448
2022-08-13,Electronics,1532.14,4,43.51,Standard,Wallet,19,Female,City29,Not Returned,3462.023544
2023-05-04,Books,1859.83,4,20.92,Next-Day,Wallet,28,Female,City10,Not Returned,5883.0142559999995
2023-07-10,Toys,327.06,5,7.83,Standard,Wallet,58,Male,City47,Not Returned,1507.2560099999998
2024-02-03,Books,503.15,1,29.68,Next-Day,COD,20,Male,City17,Not Returned,353.81508
2024-05-13,Toys,365.66,2,37.2,Standard,Credit Card,62,Male,City12,Returned,459.26895999999994
2025-03-20,Clothing,1530.85,1,22.87,Standard,Credit Card,37,Female,City66,Not Returned,1180.7446049999999
2023-04-07,Clothing,897.8,3,44.77,Standard,Credit Card,64,Female,City7,Returned,1487.5648199999998
2022-02-13,Toys,1363.71,2,13.56,Standard,Debit Card,37,Male,City30,Not Returned,2357.5818480000003
2025-03-10,Clothing,1191.45,5,25.81,Next-Day,Credit Card,51,Female,City80,Returned,4419.683775
2023-08-14,Books,554.28,2,43.89,Express,Debit Card,21,Female,City64,Not Returned,622.0130159999999
2023-11-18,Clothing,1115.54,5,45.64,Next-Day,COD,52,Male,City8,Returned,3032.03772
2022-05-19,Electronics,1720.07,2,17.32,Next-Day,Wallet,45,Male,City27,Returned,2844.3077519999997
2022-04-21,Toys,240.82,3,39.61,Express,Credit Card,25,Female,City8,Not Returned,436.29359400000004
2023-08-02,Electronics,1218.87,4,10.07,Next-Day,Credit Card,18,Female,City63,Returned,4384.519163999999
2022-12-12,Toys,1714.71,5,15.99,Standard,Debit Card,58,Male,City30,Not Returned,7202.639354999999
2024-02-03,Books,1277.37,2,1.1,Standard,Debit Card,59,Male,City78,Returned,2526.63786
2025-04-06,Electronics,1301.19,3,40.61,Next-Day,COD,41,Male,City26,Returned,2318.330223
2024-06-29,Books,1484.02,3,43.58,Standard,Wallet,31,Female,City87,Returned,2511.8522519999997
2023-07-21,Books,934.03,4,46.49,Next-Day,Wallet,53,Female,City72,Returned,1999.1978119999997
2024-03-05,Books,470.83,4,15.1,Next-Day,Wallet,52,Male,City56,Not Returned,1598.93868
2024-06-29,Clothing,1457.64,1,17.66,Next-Day,Debit Card,61,Male,City5,Not Returned,1200.2207760000001
2023-09-03,Books,301.97,2,38.31,Express,Debit Card,31,Male,City88,Not Returned,372.57058600000005
2023-12-31,Electronics,769.09,5,16.29,Express,COD,47,Male,City89,Not Returned,3219.026195
2024-09-23,Toys,1332.56,2,12.13,Express,Debit Card,20,Male,City21,Not Returned,2341.840944
2024-12-12,Clothing,1982.39,2,16.09,Express,Debit Card,18,Female,City26,Returned,3326.846898
2024-09-03,Toys,1444.7,5,20.08,Standard,Credit Card,58,Female,City89,Not Returned,5773.0212
2023-01-27,Clothing,417.6,4,17.19,Express,Wallet,20,Female,City9,Returned,1383.25824
2023-10-31,Books,1580.53,3,29.73,Next-Day,Wallet,21,Female,City28,Not Returned,3331.915293
2023-05-11,Electronics,1588.64,1,31.15,Standard,Credit Card,28,Female,City36,Returned,1093.77864
2022-06-08,Clothing,1039.7,2,14.94,Standard,Wallet,33,Male,City7,Not Returned,1768.73764
2023-04-07,Electronics,321.17,4,15.4,Express,Credit Card,49,Male,City15,Not Returned,1086.83928
2024-06-16,Clothing,1557.91,1,11.85,Next-Day,Debit Card,51,Female,City68,Not Returned,1373.297665
2023-09-03,Electronics,872.88,5,31.25,Next-Day,Wallet,36,Male,City95,Not Returned,3000.5249999999996
2023-08-26,Clothing,1485.14,5,36.68,Express,Debit Card,35,Female,City10,Not Returned,4701.953240000001
2025-09-02,Electronics,1855.16,5,29.91,Express,Wallet,33,Female,City10,Not Returned,6501.408220000001
2022-09-27,Clothing,1344.75,3,21.39,Next-Day,Credit Card,35,Female,City27,Not Returned,3171.323925
2025-08-13,Clothing,455.58,2,48.59,Next-Day,COD,42,Female,City43,Returned,468.427356
2025-02-05,Toys,1156.84,4,29.61,Express,COD,41,Female,City87,Not Returned,3257.1987039999995
2023-09-17,Clothing,981.3,1,34.73,Next-Day,Credit Card,48,Male,City62,Not Returned,640.49451
2022-02-28,Electronics,1064.23,5,4.31,Next-Day,COD,33,Male,City50,Not Returned,5091.808435
2024-06-23,Home Appliances,331.74,3,8.86,Standard,COD,45,Female,City6,Not Returned,907.043508
2024-09-04,Electronics,1155.85,2,14.57,Standard,COD,34,Male,City95,Returned,1974.88531
2024-03-18,Books,1029.64,3,5.59,Next-Day,COD,55,Male,City30,Not Returned,2916.249372
2022-04-04,Electronics,1433.72,4,44.72,Standard,Credit Card,30,Male,City68,Returned,3170.2416639999997
2023-10-24,Toys,1754.36,2,4.35,Express,Debit Card,41,Male,City36,Not Returned,3356.09068
2024-04-10,Electronics,1024.52,3,9.79,Standard,Wallet,64,Female,City6,Returned,2772.658476
2022-06-28,Electronics,567.84,2,29.46,Express,Wallet,39,Male,City31,Not Returned,801.1086720000001
2024-07-10,Electronics,482.18,4,33.28,Standard,Debit Card,38,Female,City21,Not Returned,1286.8419840000001
2023-06-25,Books,1540.7,1,21.78,Next-Day,Wallet,44,Female,City37,Not Returned,1205.13554
2024-04-22,Clothing,145.72,5,16.46,Express,COD,43,Male,City26,Not Returned,608.67244
2023-09-21,Clothing,1684.08,2,23.26,Express,Wallet,36,Female,City93,Not Returned,2584.7259839999997
2025-08-02,Clothing,1098.41,1,44.99,Next-Day,Debit Card,58,Male,City20,Returned,604.2353410000001
2025-03-04,Electronics,658.82,1,28.21,Standard,Credit Card,47,Female,City76,Not Returned,472.966878
2024-07-05,Books,843.33,2,47.35,Express,COD,19,Female,City13,Not Returned,888.02649
2023-02-03,Electronics,854.16,5,10.36,Standard,Debit Card,21,Female,City31,Not Returned,3828.34512
2024-10-17,Clothing,968.28,3,42.92,Standard,Wallet,59,Male,City9,Not Returned,1658.082672
2022-10-22,Clothing,950.07,5,44.16,Next-Day,Debit Card,47,Female,City26,Not Returned,2652.59544
2024-07-21,Books,1261.32,1,1.57,Standard,Debit Card,60,Female,City36,Not Returned,1241.5172759999998
2023-07-12,Toys,105.02,1,0.28,Next-Day,Credit Card,54,Female,City78,Not Returned,104.725944
2024-05-10,Clothing,1378.29,4,9.02,Next-Day,Debit Card,48,Female,City69,Not Returned,5015.872968
2024-03-29,Clothing,1449.37,1,3.56,Standard,Debit Card,46,Male,City75,Not Returned,1397.772428
2025-05-16,Electronics,219.32,4,36.71,Next-Day,Wallet,51,Female,City53,Not Returned,555.230512
2025-03-31,Toys,1828.29,1,41.46,Standard,COD,59,Male,City11,Not Returned,1070.2809659999998
2025-01-13,Electronics,1210.95,2,22.33,Standard,Wallet,20,Female,City32,Not Returned,1881.0897300000001
